 时间,标签（标题),内容,转发数,点赞数,评论数,热评链接
2020-06-18,#你好，明天#,【#你好，明天#】“北京疫情已经控制住了”，有关专家在新闻发布会上的这一表述，鼓舞人心。该判断应是基于专业分析，有其依据。但是，更应清晰而清醒地看到，当前疫情形势严峻复杂，防控处于紧要关头。一篙松劲退千寻，不能麻痹大意。拉响警报、主动出击，全力以赴、分秒必争，防控仍需加把劲！ ,1885,9642,1775,https://weibo.cn/comment/hot/J7gmhoUlI?rl=2
2020-06-18,#吴尊友回应北京疫情是否控制住#,#吴尊友回应北京疫情是否控制住#【#吴尊友称北京疫情已控制住# 并不意味着不再新增病例】6月18日下午，中国疾控中心流行病学首席专家吴尊友表示，目前北京的疫情已经控制住了。每天报告病例，并不等于新感染的。明后天还会有病例出现，应该是对既往病例的检测发现。新感染只是零星的。 ,593,5540,865,https://weibo.cn/comment/hot/J7dBTfTxx?rl=2
2020-06-18,#19日起北京所有省际客运班线全部停运#,【#19日起北京所有省际客运班线全部停运#】6月18日下午，北京召开第125场新冠肺炎疫情防控工作新闻发布会。北京市交通委员会副主任、新闻发言人容军介绍，6月19日起，北京所有省际客运站运营的省际班线将全部停运，已购买车票旅客全额退款。（王昊男） ,440,1586,306,https://weibo.cn/comment/hot/J7dyb7bvi?rl=2
2020-06-18,#北京已发生8起与新发地相关聚集性疫情#,【#北京已发生8起与新发地相关聚集性疫情#】#北京公布与新发地有关的聚集性典型案例#： 北京某餐馆有员工7人，其中2人为厨师，1人为采购兼厨师，1人配菜兼收货，3人为服务员，7人每日活动范围固定，每日9时至22时在餐厅工作，剩余时间在同一住所居住休息，其中某男37岁为该餐馆采购员兼厨师，负责到新发地市场进行采购，其余6人均未到过新发地市场，但与采购员某男和采自新发地市场的物品有密切的接触。截至6月17日某男所在的餐厅全部7名员工均诊断为确诊病例。在此提示市民朋友，新冠病毒传染性强、传播途径复杂，大家应提高防范意识，自觉遵守北京市疫情防控各项要求，服从社区防控管理，如近期曾去过新发地市场请不要随意外出，与他人保持一米以上社交距离，在住所工作场所等封闭空间内，注意规范佩戴口罩，保持室内定期通风，减少疫情传播的风险。http://t.cn/A6LxtiMS,352,2791,311,https://weibo.cn/comment/hot/J7duCjpP3?rl=2
2020-06-18,#北京抗疫#,#北京抗疫#【正在直播！#北京疫情防控情况发布会#】6月18日下午，北京召开疫情防控第125场例行新闻发布会，介绍有关情况，并答记者问。@人民日报 联合@北京日报都视频 正在直播↓↓关注！ 人民日报的微博视频 . ,2304,41100,1009,https://weibo.cn/comment/hot/J7dkyCgrO?rl=2
2020-06-18,#雄安新区安新县实施临时交通管制#,【#雄安新区安新县实施临时交通管制#】安新县应对新冠肺炎疫情工作领导小组办公室关于在全县实施临时交通管制的通告：①过境安新车辆绕行通过，一律不准进入。②对消防、救护、军用、运钞、抢险等特种车辆及环卫车辆直接放行。对运送医护物资、生活必需品、农副产品、农用物资等车辆，检查站要认真核实，对司乘人员体温检测正常的予以放行。③社会车辆、人员离开我县的，需提前一天向所在乡镇（社工办）申领通行证（通行证要注明姓名、身份证号、车牌号、进出时间、事由、有效期限等），通行证必须加盖公章。公务用车（限于国家机关、事业单位、国有企业车辆）和公务人员离开我县的，需持本单位核发的介绍信方可通行。④确因工作生活需要，需在安新县域内通勤的车辆，按防控办要求核发通行证。⑤外地车辆和人员确需进入我县的，经体温检测正常，由接待单位持证明信到检查站办理交接手续。⑥凡有发热、咳嗽症状的居民一律不准离开我县。http://t.cn/A6LMrojh,548,5116,644,https://weibo.cn/comment/hot/J7cjYac7u?rl=2
2020-06-18,#确有出京需求请进行核酸检测#,【转扩周知！#确有出京需求请进行核酸检测#】18日北京疫情防控发布会提醒，#北京严禁三类涉疫风险人员出京#。此外，北京倡导非必要不出京，确有出京需求的，需抓紧进行核酸检测，持7日内核酸检测阴性证明安全出行。战胜疫情，我们一起努力！ ,591,1821,428,https://weibo.cn/comment/hot/J7bDfqoU6?rl=2
2020-06-18,#北京市回应是否已经封城#,【#北京市回应是否已经封城#】北京市公安局副局长潘绪宏介绍，北京市迅速采取果断措施，严格出京管理，坚决阻断疫情传播渠道，但#北京严格出京管理并不意味着封城#。 人民日报的微博视频 ,985,6930,1378,https://weibo.cn/comment/hot/J7bCeu1Da?rl=2
2020-06-18,#北京严禁三类涉疫风险人员出京#,【#北京严禁三类涉疫风险人员出京#】6月18日，北京召开新冠肺炎疫情防控工作新闻发布会。北京市公安局副局长、新闻发言人潘绪宏介绍，严禁涉疫风险人员出京，主要包含3类人员：一是全市确诊病例、疑似病例、密切接触者、无症状感染者和有发热症状人员。二是5月30日以来进出新发地批发市场和与市场工作人员有过密切接触的人员。三是中高风险街乡镇人员。,179,653,131,https://weibo.cn/comment/hot/J7bAeCIQB?rl=2
2020-06-18,#北京中高风险区外来人员不得入小区#,【#北京中高风险区外来人员不得入小区#】18日，北京新冠肺炎疫情防控工作领导小组社区防控组副组长张革表示，北京恢复所有小区闸口设置，出入口严格执行测温、查证、登记。#北京低风险小区外卖快递等持健康宝可进入#。中高风险外来人员不得进入。 人民日报的微博视频 ,191,1757,272,https://weibo.cn/comment/hot/J7bvH1piS?rl=2
2020-06-18,#北京疫情形势严峻复杂#,【#北京疫情形势严峻复杂#：#北京要求最短时间内找到所有密接者#】18日，徐和建表示，6月11日以来北京累计确诊158例，当前北京疫情形势严峻复杂，#北京疫情防控处于紧要关头#。人民日报的微博视频 ,1495,73799,3440,https://weibo.cn/comment/hot/J7bsk5ORX?rl=2
