时间,标签（标题),内容,转发数,点赞数,评论数,热评链接
2020-06-18,#主播说联播#,#主播说联播#【防控把针尖大的窟窿堵住，这样才可能会面面俱好！】康辉：要织密北京疫情防控的一张网，对每个生活在北京的人来说，自觉配合、做好防护也是这一张网中重要的一环。忍不住要赞一赞那位西城大爷，他是北京这波疫情的第一位确诊患者，正是他靠着“最强大脑”，提供了准确、全面的流调信息，对于锁定新发地发挥了重要作用。防控面面俱到，把针尖大的窟窿堵住，这样才可能会面面俱好！ http://t.cn/A6LJbBdc,713,5562,413,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2
2020-06-18,#北京丰台区长辛店街道降为低风险#,【#北京丰台区长辛店街道降为低风险# 转！战疫情！】今天，根据国务院客户端小程序显示，丰台区长辛店镇升级为中风险地区、长辛店街道“降级”为低风险地区。 ,284,2977,369,https://weibo.cn/comment/hot/J7evo1vJl?rl=2
2020-06-18,#北京疫情控制住不意味不再新增#,【#北京疫情控制住不意味不再新增# 转！严防严控！齐心战疫！】①6月17日0至24时，#北京新增21例确诊#；②即日起，#北京公交满载率不超90%地铁不超80%#；③6月19日起，#北京进出京省际客运班线全部停运#……一图了解北京疫情防控工作发布会要点↓↓ ,619,3282,481,https://weibo.cn/comment/hot/J7ecu68kT?rl=2
2020-06-18,#德国猪肉企业发生聚集疫情产品暂停输华#,【#德国猪肉企业发生聚集疫情产品暂停输华#】海关总署18日发布公告，自6月17日起，中国海关暂停德国一家猪肉屠宰及其分割、冷藏企业的产品输华。按照双边合作协议，德国官方主管部门向海关总署通报德在华注册的一家猪肉屠宰企业确认发生新冠病毒聚集性感染。根据中方要求，德方已暂停该企业及其分割、冷藏企业对华出口。海关总署已更新《符合评估要求的国家或地区输华肉类产品名单》，暂停来自上述企业的产品进口。对于已到港或即将到港的来自上述企业的产品，海关部门全部予以暂扣。（总台央视记者孙树文）,397,2515,375,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2
2020-06-18,#除了水果其它蔬菜尽量不生吃#,【转发提醒！#除了水果其它蔬菜尽量不生吃#】中国疾控中心流行病学首席专家吴尊友：①对于蔬菜瓜果，如果产地是安全的，那么这地方就没有由于生产造成污染的问题。②如果供应的市场也是安全的，没有疫情的地方，这样的蔬菜瓜果就是安全的，可以放心大胆的吃。③来自这些地方的蔬菜瓜果，包括生吃应该说都没问题，但还是要注意卫生，还有消化道传染病的问题，水果生吃没问题，对于其它蔬菜一类的，能不生吃尽量不生吃。（总台央视记者何畅 危家煦） http://t.cn/A6LxIxpu,5490,113443,6538,https://weibo.cn/comment/hot/J7dEZEHli?rl=2
2020-06-18,#北京疫情控制住不意味不再新增#,【#北京疫情控制住不意味不再新增# 转！战疫！】今天下午北京市召开第125场疫情防控新闻发布会。会上，中国疾控中心流行病学首席专家吴尊友表示：北京疫情控制住不意味不新增。明天、后天相继还会有报告病例出现，这个曲线还会延续一段时间。（总台央视记者何畅 危家煦） ,14799,126054,5251,https://weibo.cn/comment/hot/J7dBprbsO?rl=2
2020-06-18,#河北5000吨蔬菜进京投放市场#,【#河北5000吨蔬菜进京投放市场# 转！战疫情！】记者今天从北京市疫情防控新闻发布会上了解到，为充分保障首都生活必需品市场供应，国务院联防联控机制生活物资保障组紧急部署外埠蔬菜调运进京工作。国家发改委组织河北高碑店调运5000吨蔬菜进京投放市场，首农食品集团正在迅速落实存储和投放工作，今晨首批150吨蔬菜已运抵北京。商务部协调山东省支援北京市场供应，25家企业已为供京蔬菜做好货源准备，首批蔬菜预计19日可到北京。（总台央视记者何畅 危家煦）http://t.cn/A6LxV9jm,702,35386,2366,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2
2020-06-18,#北京一餐馆7人确诊新冠肺炎#,【#北京一餐馆7人确诊新冠肺炎# 转！警惕！】庞星火：北京某餐馆有员工7人，其中2人为厨师，1人为采购兼厨师，1人配菜兼收货，3人为服务员，7人每日活动范围固定，每日9时至22时在餐厅工作，剩余时间在同一住所居住休息，其中某男37岁为该餐馆采购员兼厨师，负责到新发地市场进行采购，其余6人均未到过新发地市场，但与采购员某男和采自新发地市场的物品有密切的接触。截至6月17日某男所在的餐厅全部7名员工均诊断为确诊病例。在此提示市民朋友，新冠病毒传染性强、传播途径复杂，大家应提高防范意识，自觉遵守北京市疫情防控各项要求，服从社区防控管理，如近期曾去过新发地市场请不要随意外出，与他人保持一米以上社交距离，在住所工作场所等封闭空间内，注意规范佩戴口罩，保持室内定期通风，减少疫情传播的风险。http://t.cn/A6LxtB9H,1079,8405,990,https://weibo.cn/comment/hot/J7duXE2df?rl=2
2020-06-18,#北京新增21例确诊#,#北京新增21例确诊#【直播！#北京疫情防控工作发布会#】今天下午，北京召开疫情防控新闻发布会。市政府相关部门负责人介绍有关情况，并答记者问。关注！（总台央视记者何畅） 央视新闻的微博视频 . ,295,7869,453,https://weibo.cn/comment/hot/J7dlVE0m8?rl=2
2020-06-18,#涉疫三类人群严禁出京#,#涉疫三类人群严禁出京#【#三类人群严禁出京# 转发周知！战疫情！】今天上午，北京市召开第124场新闻发布会。北京市公安局副局长潘绪宏表示，严禁涉疫人员出京，主要涉及：①有相关症状人员，②新发地市场密切接触人员，③中高风险地区人员。（总台央视记者何畅 危家煦）央视新闻的微博视频 ,380,1679,241,https://weibo.cn/comment/hot/J7bz8D40D?rl=2
