时间,热评链接,评论内容,点赞数
None,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,那位西城大爷是真的厉害,None
2020-06-18,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,北京这次真的狠给力。我在丰台，中风险地区，核酸检测深入到小区，没有新发地接触史的自愿检测，所有人员都是免费免费免费！大家都积配合。为了自己安心也为了给别人一个放心。相信疫情很快就能控制住！！加油北京！,180
None,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,西城大爷还是你大爷，赞一个,None
2020-06-18,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,最强西城大爷点个赞！！！,113
None,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,西城大爷 吹哨人 ,None
None,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,你大爷永远是你大爷,None
None,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,我看到那个面面俱到的群了,None
None,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,给大爷点赞，也为医护人员点赞,None
2020-06-18,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,北京加油！！！,11
2020-06-18,https://weibo.cn/comment/hot/J7fVnmVBw?rl=2,大家都会好的,8
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,应该提示是哪一家饭店 去用餐过的顾客可以去检测一下以防万一,1316
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,标题让我傻眼。。。。,559
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,不应该报道出餐馆名字吗？然后让附近的居民或者工作人员看看有没有去过该餐馆，或与该餐馆人员接触。做好相应核酸检测和隔离。,535
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,！那去过那家餐厅的顾客咋办,194
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,某餐馆是什么餐馆？为啥不说名字啊,134
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,哪个餐馆啊，就不能说清楚吗？真费劲,102
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,少聚集，戴口罩，注意个人防护！,53
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,某餐馆   是见不得人么？不让人知道吗？？？,67
2020-06-18,https://weibo.cn/comment/hot/J7duXE2df?rl=2,都这时候了 还某餐馆？！赶紧把名字报出来啊！,56
2020-06-18,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,河北：虽然我们不能被同甘，但是我们能被共苦,4189
None,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,关键时刻看河北，以后首都吃肉，也得让人家喝口汤啊,None
2020-06-18,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,有比河北还惨的省吗？？？,1289
2020-06-18,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,Jing Jin Ji ，一个比一个短,1118
None,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,然后河北菜价翻倍了。请问您高考时把河北放哪去了？？？？？没别的要求，只求你们要点脸!,None
None,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,京津冀一体化协同发展,None
2020-06-18,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,希望高考和工作能京津冀一体化,1033
2020-06-18,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,河北真的搭上了这个一个邻居，怕是永远没有出头之日了。,469
None,https://weibo.cn/comment/hot/J7dy5tvFO?rl=2,然而河北重来就没有享受过北京和天津的各种优惠政策,None
2020-06-18,https://weibo.cn/comment/hot/J7dBprbsO?rl=2,很奇怪的感觉,7841
2020-06-18,https://weibo.cn/comment/hot/J7dBprbsO?rl=2,我还以为是吴尊说，还在想他咋突然说这个……,5740
2020-06-18,https://weibo.cn/comment/hot/J7dBprbsO?rl=2,希望如此，但不盲目乐观,3689
2020-06-18,https://weibo.cn/comment/hot/J7dBprbsO?rl=2,武汉都能控制住，北京也能的，加油,2346
2020-06-18,https://weibo.cn/comment/hot/J7dBprbsO?rl=2,武汉那会是不了解这个病毒，让他扩散了很久才采取措施，现在人们都很重视这个病毒，而且北京这次的源头就是新发地市场，所有病患都与新发地有关系，比较好控制,1678
2020-06-18,https://weibo.cn/comment/hot/J7dBprbsO?rl=2,没看发布会就别张口就来发布会原话大概是说“现在每天发布的病例是以前就感染然后通过排查隔离发病的，而不是新传染的，所谓的控制住并不代表明天开始就会是零增长，后续几天还会有新增，病例会慢慢越来越少”，毕竟有很多人在隔离，从隔离人群中也会发现病例但并不是新感染的，新病例只是零星，懂？,486
2020-06-18,https://weibo.cn/comment/hot/J7dBprbsO?rl=2,昨天我就说了，北京无恙,471
2020-06-18,https://weibo.cn/comment/hot/J7dEZEHli?rl=2,评论里为啥这么多杠的，让你不要吃就别吃了，你非要吃谁也不能上你家逮你去，之前武汉只要是人传人，而且天冷。现在发现的渠道是病毒可能潜伏冷冻，生冷这些地方。而且这些国家也在摸索，谁能先知？国家建议不要吃，你暂时就别吃，有啥好较真的？一边说北京加油国家加油，一边和国家抬杠，咋想的？,22712
2020-06-18,https://weibo.cn/comment/hot/J7dEZEHli?rl=2,记住两个不能，这也不能，那也不能。,3824
2020-06-18,https://weibo.cn/comment/hot/J7dEZEHli?rl=2,生菜瑟瑟发抖,3400
2020-06-18,https://weibo.cn/comment/hot/J7dEZEHli?rl=2,凉拌菜不能吃了…,2058
None,https://weibo.cn/comment/hot/J7dEZEHli?rl=2,黄瓜、西红柿：我们……,None
2020-06-18,https://weibo.cn/comment/hot/J7dEZEHli?rl=2,用盐水泡泡才能吃哦 注意卫生,591
None,https://weibo.cn/comment/hot/J7dEZEHli?rl=2,这段时间没法做关晓彤同款生菜三明治了,None
2020-06-18,https://weibo.cn/comment/hot/J7dEZEHli?rl=2,晓得啦！！！夏天细菌滋生快，尤其肉制品！！！一定要全熟啊！！！,298
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,我勒个去，猪肉都不安全了,302
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,北京这次可能就是这么过来的,229
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,大家这段时间进口的先不要吃！！,123
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,一定坚守国门，不能进来,60
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,严防输入,38
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,没想到啊，亡羊补牢。,29
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,猪肉价格会有波动不,18
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,严防严守！,15
2020-06-18,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,进口的东西不吃了 国外跟毒窝一样,19
None,https://weibo.cn/comment/hot/J7dZSfu2l?rl=2,反正保命要紧,None
None,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,说的越来越轻松，措施越来越严格,None
None,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,北京一场大雨，希望能冲走疫情。明天热搜就是北京清零,None
None,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,前几天也是吴尊友当时也说北京没必要升级防控等级，结果过了一晚上更严重了就升成二级了，你们细品,None
2020-06-18,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,会持续增加为什么叫控制住？,96
2020-06-18,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,带好口罩，做好防护，早发现，早治疗。,25
2020-06-18,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,严防严控,18
2020-06-18,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,请您先把丰台某餐馆真名说清楚，谢谢,28
2020-06-18,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,公交地铁那个快实施吧，每天人挤人太多了！！！不可控啊！！！,11
2020-06-18,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,这上半年到处加油了，最后加到自己家门了。,14
2020-06-18,https://weibo.cn/comment/hot/J7ecu68kT?rl=2,严防严控，不要掉以轻心,10
2020-06-18,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,依据什么来划分风险等级？搞不懂，这么快？,216
None,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,其实不太明白长辛店镇和长辛店街道有什么区别,None
2020-06-18,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,这是之前弄岔了吧？,4
2020-06-18,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,这速度，心里反而有点慌,1
None,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,感觉是之前登记错了,None
2020-06-18,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,厉害了！！！继续坚持，早日解除风险[加油][加油][加油],28
2020-06-18,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,镇和街道有什么区别？,16
2020-06-18,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,厉害了！！！继续坚持，早日解除风险[加油][加油][加油],9
None,https://weibo.cn/comment/hot/J7evo1vJl?rl=2,北京速度,None
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,太棒了，听说这几天稳定以后就会越来越好，加油北京,80
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,昨天31例轨迹今天会说么,19
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,为了防控疫情扩散，北京已经禁止三类人员出京，还注意公安局长最后一句话，确要出城的低风险地区人员，尽快完成核酸出城…大家注意这句话的含义了…,7
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,16日确诊病例的详细信息能不能说下,60
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,16、17日确诊病例活动区域公布一下,36
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,北京疫情已经趋于平稳,30
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,要求强制远程办公,32
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,中国的首都永远最棒，加油💪,17
2020-06-18,https://weibo.cn/comment/hot/J7boSvCmN?rl=2,就说一下这两天的新增所在街道吧！就算不精确到小区，让大家知道一下街道也好心里有数啊……,11
2020-06-18,https://weibo.cn/comment/hot/J7blACZHd?rl=2,请关闭和停止海鲜输入进口贸易通道,205
2020-06-18,https://weibo.cn/comment/hot/J7blACZHd?rl=2,所以非高风险地区，强制检测的价格是多少，时效性是多少？,1
2020-06-18,https://weibo.cn/comment/hot/J7blACZHd?rl=2,医护人员真的好辛苦啊[悲傷]希望后勤保障做好啊,253
None,https://weibo.cn/comment/hot/J7blACZHd?rl=2,辛苦了，医护人员,None
